ImportKey,English,TurkishTranslations,PartOfSpeech,PastSimple,PastParticiple,IsIrregular,Level,Topic,TopicSortOrder,WordSortOrder,LearningGroupSortOrder
wm-000001,afraid,"{""korkmuş"",""endişeli""}",Adjective,,,false,A1,EmotionsAndPersonality,1,1,1
wm-000002,angry,"{""kızgın"",""öfkeli""}",Adjective,,,false,A1,EmotionsAndPersonality,1,2,1
wm-000024,excited,"{""heyecanlı"",""coşkulu""}",Adjective,,,false,A1,EmotionsAndPersonality,1,3,1
wm-000036,happy,"{""mutlu""}",Adjective,,,false,A1,EmotionsAndPersonality,1,4,1
wm-000043,interested,"{""ilgili""}",Adjective,,,false,A1,EmotionsAndPersonality,1,5,1
wm-000066,sad,"{""üzgün""}",Adjective,,,false,A1,EmotionsAndPersonality,1,6,2
wm-000392,enjoy,"{""keyif almak"",""hoşlanmak""}",Verb,enjoyed,enjoyed,false,A1,EmotionsAndPersonality,1,7,2
wm-000405,like,"{""beğenmek""}",Verb,liked,liked,false,A1,EmotionsAndPersonality,1,8,2
wm-000409,love,"{""sevmek"",""âşık olmak""}",Verb,loved,loved,false,A1,EmotionsAndPersonality,1,9,2
wm-000003,bad,"{""kötü"",""fena""}",Adjective,,,false,A1,Descriptions,2,1,1
wm-000004,beautiful,"{""güzel""}",Adjective,,,false,A1,Descriptions,2,2,1
wm-000005,big,"{""büyük"",""iri""}",Adjective,,,false,A1,Descriptions,2,3,1
wm-000008,boring,"{""sıkıcı""}",Adjective,,,false,A1,Descriptions,2,4,1
wm-000010,busy,"{""meşgul"",""yoğun""}",Adjective,,,false,A1,Descriptions,2,5,1
wm-000012,clean,"{""temiz""}",Adjective,,,false,A1,Descriptions,2,6,2
wm-000015,correct,"{""doğru"",""hatasız""}",Adjective,,,false,A1,Descriptions,2,7,2
wm-000016,dangerous,"{""tehlikeli""}",Adjective,,,false,A1,Descriptions,2,8,2
wm-000017,dark,"{""karanlık""}",Adjective,,,false,A1,Descriptions,2,9,2
wm-000019,different,"{""farklı"",""değişik""}",Adjective,,,false,A1,Descriptions,2,10,2
wm-000020,difficult,"{""zor""}",Adjective,,,false,A1,Descriptions,2,11,3
wm-000021,dirty,"{""kirli""}",Adjective,,,false,A1,Descriptions,2,12,3
wm-000022,early,"{""erken""}",Adjective,,,false,A1,Descriptions,2,13,3
wm-000023,easy,"{""kolay""}",Adjective,,,false,A1,Descriptions,2,14,3
wm-000025,exciting,"{""heyecan verici""}",Adjective,,,false,A1,Descriptions,2,15,3
wm-000027,false,"{""yanlış"",""sahte""}",Adjective,,,false,A1,Descriptions,2,16,4
wm-000028,famous,"{""ünlü"",""meşhur""}",Adjective,,,false,A1,Descriptions,2,17,4
wm-000029,fast,"{""hızlı""}",Adjective,,,false,A1,Descriptions,2,18,4
wm-000032,full,"{""dolu""}",Adjective,,,false,A1,Descriptions,2,19,4
wm-000033,funny,"{""komik"",""eğlenceli""}",Adjective,,,false,A1,Descriptions,2,20,4
wm-000034,good,"{""iyi""}",Adjective,,,false,A1,Descriptions,2,21,5
wm-000037,hard,"{""sert""}",Adjective,,,false,A1,Descriptions,2,22,5
wm-000039,high,"{""yüksek""}",Adjective,,,false,A1,Descriptions,2,23,5
wm-000042,important,"{""önemli""}",Adjective,,,false,A1,Descriptions,2,24,5
wm-000044,interesting,"{""ilginç""}",Adjective,,,false,A1,Descriptions,2,25,5
wm-000045,large,"{""geniş"",""büyük""}",Adjective,,,false,A1,Descriptions,2,26,6
wm-000046,late,"{""geç""}",Adjective,,,false,A1,Descriptions,2,27,6
wm-000047,little,"{""küçük""}",Adjective,,,false,A1,Descriptions,2,28,6
wm-000048,long,"{""uzun""}",Adjective,,,false,A1,Descriptions,2,29,6
wm-000049,near,"{""yakın""}",Adjective,,,false,A1,Descriptions,2,30,6
wm-000050,new,"{""yeni""}",Adjective,,,false,A1,Descriptions,2,31,7
wm-000051,nice,"{""hoş""}",Adjective,,,false,A1,Descriptions,2,32,7
wm-000052,old,"{""yaşlı"",""eski""}",Adjective,,,false,A1,Descriptions,2,33,7
wm-000053,open,"{""açık""}",Adjective,,,false,A1,Descriptions,2,34,7
wm-000055,personal,"{""kişisel"",""özel""}",Adjective,,,false,A1,Descriptions,2,35,7
wm-000058,pretty,"{""güzel"",""şirin""}",Adjective,,,false,A1,Descriptions,2,36,8
wm-000060,quiet,"{""sessiz""}",Adjective,,,false,A1,Descriptions,2,37,8
wm-000062,ready,"{""hazır""}",Adjective,,,false,A1,Descriptions,2,38,8
wm-000065,right,"{""doğru""}",Adjective,,,false,A1,Descriptions,2,39,8
wm-000067,short,"{""kısa""}",Adjective,,,false,A1,Descriptions,2,40,8
wm-000069,slow,"{""yavaş""}",Adjective,,,false,A1,Descriptions,2,41,9
wm-000070,small,"{""küçük"",""ufak""}",Adjective,,,false,A1,Descriptions,2,42,9
wm-000072,special,"{""özel""}",Adjective,,,false,A1,Descriptions,2,43,9
wm-000073,strong,"{""güçlü""}",Adjective,,,false,A1,Descriptions,2,44,9
wm-000075,tall,"{""uzun boylu""}",Adjective,,,false,A1,Descriptions,2,45,9
