English,TurkishTranslations,PartOfSpeech,PastSimple,PastParticiple,IsIrregular,Level,Topic
afraid,"{""korkmuş"",""endişeli""}",Adjective,,,false,A1,EmotionsAndPersonality
angry,"{""kızgın"",""öfkeli""}",Adjective,,,false,A1,EmotionsAndPersonality
bad,"{""kötü"",""fena""}",Adjective,,,false,A1,Descriptions
beautiful,"{""güzel""}",Adjective,,,false,A1,Descriptions
big,"{""büyük"",""iri""}",Adjective,,,false,A1,Descriptions
black,"{""siyah""}",Adjective,,,false,A1,Colors
blue,"{""mavi""}",Adjective,,,false,A1,Colors
boring,"{""sıkıcı""}",Adjective,,,false,A1,Descriptions
brown,"{""kahverengi""}",Adjective,,,false,A1,Colors
busy,"{""meşgul"",""yoğun""}",Adjective,,,false,A1,Descriptions
cheap,"{""ucuz""}",Adjective,,,false,A1,ShoppingAndMoney
clean,"{""temiz""}",Adjective,,,false,A1,Descriptions
cloudy,"{""bulutlu""}",Adjective,,,false,A1,NatureAndWeather
cold,"{""soğuk""}",Adjective,,,false,A1,NatureAndWeather
correct,"{""doğru"",""hatasız""}",Adjective,,,false,A1,Descriptions
dangerous,"{""tehlikeli""}",Adjective,,,false,A1,Descriptions
dark,"{""karanlık""}",Adjective,,,false,A1,Descriptions
delicious,"{""lezzetli"",""enfes""}",Adjective,,,false,A1,FoodAndDrink
different,"{""farklı"",""değişik""}",Adjective,,,false,A1,Descriptions
difficult,"{""zor""}",Adjective,,,false,A1,Descriptions
dirty,"{""kirli""}",Adjective,,,false,A1,Descriptions
early,"{""erken""}",Adjective,,,false,A1,Descriptions
easy,"{""kolay""}",Adjective,,,false,A1,Descriptions
excited,"{""heyecanlı"",""coşkulu""}",Adjective,,,false,A1,EmotionsAndPersonality
exciting,"{""heyecan verici""}",Adjective,,,false,A1,Descriptions
expensive,"{""pahalı""}",Adjective,,,false,A1,ShoppingAndMoney
false,"{""yanlış"",""sahte""}",Adjective,,,false,A1,Descriptions
famous,"{""ünlü"",""meşhur""}",Adjective,,,false,A1,Descriptions
